CountryName,CountryCode,Year,Total Population,Urban population (% of total)
Finland,FIN,1969,4623785.0,62.908
France,FRA,1969,51638260.0,70.648
French Polynesia,PYF,1969,106858.0,53.773
Gabon,GAB,1969,578114.0,30.237
"Gambia, The",GMB,1969,435800.0,18.41
Georgia,GEO,1969,4080300.0,47.522
Germany,DEU,1969,77909682.0,72.211
Ghana,GHA,1969,8397346.0,28.473000000000003
Greece,GRC,1969,8772764.0,63.385
Greenland,GRL,1969,44900.0,71.48100000000001
Grenada,GRD,1969,94682.0,32.04
Guam,GUM,1969,82042.0,59.784
Guatemala,GTM,1969,5274726.0,35.232
Guinea,GIN,1969,4160375.0,15.335999999999999
Guinea-Bissau,GNB,1969,698917.0,14.972000000000001
Guyana,GUY,1969,687658.0,29.369
Haiti,HTI,1969,4622209.0,19.31
Honduras,HND,1969,2620014.0,28.244
"Hong Kong SAR, China",HKG,1969,3863900.0,87.476
Hungary,HUN,1969,10298723.0,59.691
Iceland,ISL,1969,203369.0,84.48299999999999
India,IND,1969,541844848.0,19.562
Indonesia,IDN,1969,111800090.0,16.809
"Iran, Islamic Rep.",IRN,1969,27765239.0,40.321
Iraq,IRQ,1969,9585576.0,55.089
Ireland,IRL,1969,2932650.0,51.123000000000005
Isle of Man,IMY,1969,55554.0,55.99100000000001
Israel,ISR,1969,2877000.0,83.58200000000001
Italy,ITA,1969,53537950.0,63.792
Jamaica,JAM,1969,1844936.0,40.596
Japan,JPN,1969,103172000.0,71.102
Jordan,JOR,1969,1436517.0,55.633
Kazakhstan,KAZ,1969,12550121.0,49.647
Kenya,KEN,1969,10867717.0,9.85
Kiribati,KIR,1969,50303.0,22.871
"Korea, Dem. Rep.",PRK,1969,14009168.0,51.608999999999995
"Korea, Rep.",KOR,1969,31544266.0,38.756
Kuwait,KWT,1969,693876.0,84.58200000000001
Kyrgyz Republic,KGZ,1969,2894800.0,37.214
Lao PDR,LAO,1969,2618246.0,9.304
Latvia,LVA,1969,2343173.0,59.946000000000005
Lebanon,LBN,1969,2250609.0,57.79600000000001
Lesotho,LSO,1969,1011308.0,8.196
Liberia,LBR,1969,1383305.0,25.206999999999997
Libya,LBY,1969,2025282.0,46.352
Liechtenstein,LIE,1969,20765.0,18.654
Lithuania,LTU,1969,3107321.0,48.53
Luxembourg,LUX,1969,337500.0,73.902
"Macao SAR, China",MAC,1969,245310.0,96.87700000000001
"Macedonia, FYR",MKD,1969,1698140.0,45.718
Madagascar,MDG,1969,6400454.0,13.751
Malawi,MWI,1969,4484456.0,5.773
Malaysia,MYS,1969,10640347.0,32.729
Maldives,MDV,1969,112591.0,11.698
Mali,MLI,1969,5861411.0,13.970999999999998
Malta,MLT,1969,304300.0,89.69
Marshall Islands,MHL,1969,19622.0,50.861000000000004
Mauritania,MRT,1969,1115790.0,13.554
Mauritius,MUS,1969,812405.0,41.008
Mexico,MEX,1969,50423127.0,58.229
"Micronesia, Fed. Sts.",FSM,1969,60167.0,24.551
Moldova,MDA,1969,3002000.0,31.189
Monaco,MCO,1969,23348.0,100.0
Mongolia,MNG,1969,1242213.0,44.336000000000006
Montenegro,MNE,1969,521424.0,25.955
Morocco,MAR,1969,15687996.0,33.946
Mozambique,MOZ,1969,9058691.0,6.72
Myanmar,MMR,1969,26504247.0,22.449
Namibia,NAM,1969,758305.0,21.851999999999997
Nepal,NPL,1969,11750914.0,3.911
Netherlands,NLD,1969,12877984.0,61.481
New Caledonia,NCL,1969,104000.0,50.442
New Zealand,NZL,1969,2772800.0,80.695
Nicaragua,NIC,1969,2326136.0,46.16
Niger,NER,1969,4375837.0,8.339
